,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,swimming,,
24,swimming,,
25,swimming,,
26,swimming,,
27,swimming,,
28,swimming,,
29,swimming,,
30,swimming,,
31,swimming,,
32,swimming,,
33,swimming,,
34,swimming,,
35,swimming,,
36,swimming,,
37,swimming,,
38,swimming,turning,
39,swimming,turning,
40,swimming,turning,
41,swimming,turning,
42,swimming,turning,
43,swimming,turning,
44,swimming,turning,
45,swimming,turning,
46,swimming,,
47,swimming,turning,
48,swimming,turning,
49,swimming,turning,
50,swimming,turning,
51,swimming,eating,
52,swimming,eating,
53,swimming,eating,
54,swimming,eating,
55,swimming,eating,
56,swimming,eating,
57,swimming,eating,
58,swimming,eating,turning
59,swimming,eating,turning
60,swimming,eating,turning
61,swimming,eating,
62,swimming,,
63,swimming,,
64,swimming,,
65,swimming,eating,
66,swimming,eating,
67,swimming,eating,
68,swimming,eating,
69,swimming,eating,
70,swimming,,
71,swimming,,
72,swimming,,
73,swimming,,
74,swimming,,
75,swimming,,
76,swimming,,
77,swimming,,
78,swimming,,
79,swimming,,
80,swimming,,
81,swimming,,
82,swimming,,
83,flying,,
84,flying,,
85,flying,,
86,flying,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,fighting,flying,
93,fighting,flying,
94,growing,,
95,growing,,
96,growing,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,pecking,eating,
144,pecking,eating,
145,pecking,eating,
146,pecking,,
147,pecking,eating,
148,pecking,eating,
149,pecking,eating,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,looking,,
157,looking,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,chasing,,
170,chasing,,
171,chasing,,
172,chasing,,
173,chasing,,
174,chasing,,
175,chasing,,
176,chasing,,
177,chasing,,
178,chasing,,
179,fighting,,
180,fighting,,
181,,,
182,fighting,eating,struggling
183,fighting,eating,struggling
184,fighting,eating,struggling
185,fighting,eating,struggling
186,fighting,eating,struggling
187,fighting,eating,struggling
188,fighting,eating,struggling
189,fighting,eating,struggling
190,struggling,eating,
191,struggling,kicking,eating
192,struggling,kicking,eating
193,struggling,kicking,eating
194,eating,,
195,eating,,
196,eating,,
197,eating,,
