,0,1,2,3,4,5
0,water,,,,,
1,water,,,,,
2,water,,,,,
3,water,,,,,
4,water,,,,,
5,water,,,,,
6,water,,,,,
7,earth,,,,,
8,earth,,,,,
9,earth,,,,,
10,earth,,,,,
11,earth,,,,,
12,earth,,,,,
13,earth,,,,,
14,earth,,,,,
15,earth,,,,,
16,earth,,,,,
17,earth,,,,,
18,earth,,,,,
19,earth,water,coast,,,
20,earth,water,coast,,,
21,earth,water,coast,,,
22,earth,water,coast,,,
23,water,,,,,
24,water,,,,,
25,water,,,,,
26,water,,,,,
27,water,,,,,
28,water,,,,,
29,water,,,,,
30,water,,,,,
31,water,silt,,,,
32,water,silt,,,,
33,water,silt,,,,
34,water,silt,,,,
35,water,silt,,,,
36,water,silt,,,,
37,water,silt,,,,
38,water,silt,,,,
39,water,silt,circle,,,
40,water,silt,circle,,,
41,water,silt,circle,,,
42,water,silt,circle,,,
43,water,silt,circle,,,
44,water,silt,circle,,,
45,water,silt,circle,,,
46,water,,,,,
47,water,silt,circle,,,
48,water,silt,circle,,,
49,water,silt,circle,,,
50,water,silt,circle,,,
51,water,,,,,
52,water,,,,,
53,water,silt,,,,
54,water,silt,,,,
55,water,,,,,
56,water,,,,,
57,water,,,,,
58,water,silt,circle,,,
59,water,silt,circle,,,
60,water,silt,circle,,,
61,water,,,,,
62,water,,,,,
63,water,,,,,
64,water,,,,,
65,water,,,,,
66,water,,,,,
67,water,,,,,
68,water,,,,,
69,water,,,,,
70,water,silt,,,,
71,water,silt,,,,
72,water,silt,,,,
73,water,silt,,,,
74,water,silt,,,,
75,water,silt,,,,
76,water,silt,,,,
77,water,silt,,,,
78,water,silt,,,,
79,water,silt,,,,
80,water,silt,,,,
81,water,silt,,,,
82,water,silt,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,water,,,,,
93,water,,,,,
94,plant,,,,,
95,plant,,,,,
96,plant,,,,,
97,water,,,,,
98,water,,,,,
99,water,,,,,
100,water,,,,,
101,water,,,,,
102,water,,,,,
103,water,,,,,
104,water,,,,,
105,water,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,trees,,,,,
170,trees,,,,,
171,trees,,,,,
172,trees,,,,,
173,trees,,,,,
174,trees,,,,,
175,trees,,,,,
176,trees,,,,,
177,trees,,,,,
178,trees,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,tree,leaves,,,,
204,,,,,,
205,,,,,,
206,leaf,forest,,,,
207,,,,,,
208,,,,,,
209,tree,,,,,
210,,,,,,
211,food,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,leaf,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,leaf,,,,,
225,leaf,,,,,
226,leaf,,,,,
227,leaf,,,,,
228,leaf,,,,,
229,leaf,,,,,
230,leaf,,,,,
231,leaf,,,,,
232,leaf,,,,,
233,leaf,,,,,
234,leaf,,,,,
235,,,,,,
236,,,,,,
237,leaf,,,,,
238,,,,,,
239,leaf,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,leaf,,,,,
246,leaf,,,,,
247,leaf,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,rock,,,,,
256,rock,,,,,
257,rock,,,,,
258,rock,,,,,
259,rock,,,,,
260,rock,,,,,
261,rock,,,,,
262,rock,,,,,
263,rock,water,,,,
264,rock,water,,,,
265,rock,water,,,,
266,rock,water,,,,
267,rock,water,,,,
268,rock,water,,,,
269,rock,water,,,,
270,water,ice,ocean,,,
271,water,ice,ocean,,,
272,water,ice,ocean,,,
273,water,ice,ocean,,,
274,iceberg,water,ocean,ice,,
275,iceberg,water,ocean,ice,,
276,iceberg,water,ocean,ice,,
277,ice,iceberg,,,,
278,ice,iceberg,,,,
