Sub-rid000024,0,lh,vt
sub-rid000024,1,lh,9305
sub-rid000024,2,lh,11981
sub-rid000024,3,lh,9534
sub-rid000024,0,lh,12694
sub-rid000024,0,lh,4213
sub-rid000024,0,lh,6883
sub-rid000024,0,lh,12859
sub-rid000024,0,lh,9205
sub-rid000024,0,lh,5059
sub-rid000024,0,lh,5251
sub-rid000024,0,lh,11449
sub-rid000024,0,lh,918
sub-rid000024,0,lh,13474
sub-rid000024,0,lh,10161
sub-rid000024,0,lh,6507
sub-rid000024,0,lh,8835
sub-rid000024,0,lh,12137
sub-rid000024,0,lh,10915
sub-rid000024,0,lh,10093
sub-rid000024,0,lh,4991
sub-rid000024,0,lh,1223
